iter	RMSE
0	14.10860201
1	13.2270945
2	12.42252229
3	11.66755701
4	11.04235891
5	10.52242997
6	9.962223757
7	9.504756476
8	9.06933767
9	8.643036173
10	8.274637999
11	7.981150345
12	7.722457224
13	7.479829201
14	7.241874991
15	7.03859944
16	6.852416371
17	6.683445374
18	6.53407413
19	6.406887139
20	6.316369735
21	6.216442632
22	6.112157801
23	6.02690883
24	5.949668327
25	5.876287784
26	5.812473751
27	5.757377551
28	5.703945282
29	5.652438505
30	5.609563664
31	5.567165021
32	5.523420429
33	5.487575719
34	5.460352256
35	5.43035401
36	5.408298607
37	5.387777271
38	5.36631446
39	5.336658343
40	5.320823064
41	5.301936913
42	5.282994912
43	5.265486189
44	5.251271462
45	5.233737777
46	5.213774735
47	5.199065378
48	5.174530531
49	5.154505104
50	5.131579756
51	5.121888402
52	5.119219197
53	5.096496806
54	5.085593769
55	5.074799394
56	5.059729208
57	5.044178932
58	5.022354667
59	5.012683699
60	4.997105054
61	4.977497373
62	4.962563124
63	4.94959397
64	4.945833198
65	4.938286096
66	4.931351486
67	4.922688973
68	4.916279035
69	4.90381852
70	4.883151302
71	4.871713487
72	4.865710596
73	4.850588393
74	4.832834557
75	4.81830581
76	4.804580893
77	4.79725469
78	4.780773318
79	4.769581108
80	4.766294166
81	4.756051213
82	4.73961741
83	4.733582412
84	4.720279236
85	4.711448183
86	4.698836957
87	4.682751828
88	4.675992637
89	4.66977944
90	4.660944129
91	4.654992615
92	4.649477041
93	4.636216768
94	4.622349151
95	4.61691382
96	4.613268096
97	4.61164397
98	4.599049826
99	4.591700576
