iter	Passed	Remaining
0	0	97
1	1	92
2	2	89
3	3	86
4	4	85
5	5	84
6	6	83
7	7	81
8	7	79
9	8	78
10	9	78
11	10	77
12	11	75
13	12	74
14	13	73
15	13	72
16	14	71
17	15	70
18	16	69
19	17	68
20	17	67
21	18	66
22	19	65
23	20	64
24	21	63
25	21	62
26	22	61
27	23	61
28	25	61
29	26	61
30	27	60
31	28	60
32	29	59
33	30	58
34	30	57
35	31	56
36	32	56
37	33	55
38	34	54
39	35	53
40	36	52
41	37	51
42	38	50
43	39	50
44	40	49
45	41	48
46	42	47
47	43	46
48	44	45
49	45	45
50	45	44
51	46	43
52	47	41
53	48	40
54	48	40
55	49	39
56	50	38
57	51	37
58	52	36
59	53	35
60	55	35
61	56	34
62	57	33
63	57	32
64	58	31
65	59	30
66	61	30
67	62	29
68	62	28
69	63	27
70	64	26
71	65	25
72	67	24
73	68	24
74	69	23
75	72	22
76	73	22
77	75	21
78	76	20
79	77	19
80	78	18
81	80	17
82	81	16
83	82	15
84	84	14
85	85	13
86	86	12
87	88	12
88	89	11
89	90	10
90	91	9
91	93	8
92	94	7
93	95	6
94	96	5
95	98	4
96	99	3
97	100	2
98	101	1
99	103	0
