iter	Passed	Remaining
0	0	981
1	1	915
2	2	832
3	3	789
4	3	746
5	4	720
6	4	701
7	5	699
8	6	692
9	6	669
10	7	661
11	8	659
12	8	657
13	9	654
14	9	651
15	10	649
16	11	646
17	11	647
18	12	647
19	13	644
20	13	650
21	14	655
22	15	664
23	16	669
24	17	668
25	17	671
26	18	670
27	19	669
28	19	665
29	20	665
30	21	665
31	21	663
32	22	661
33	23	661
34	23	660
35	24	660
36	25	658
37	26	658
38	26	658
39	27	658
40	28	657
41	28	658
42	29	666
43	30	667
44	31	670
45	32	672
46	33	673
47	34	674
48	34	675
49	35	675
50	36	679
51	37	682
52	38	683
53	39	685
54	39	686
55	40	687
56	41	690
57	42	690
58	43	691
59	44	702
60	46	712
61	47	718
62	48	720
63	49	719
64	50	720
65	50	721
66	51	720
67	52	720
68	53	720
69	54	719
70	55	719
71	55	719
72	56	720
73	57	721
74	58	724
75	60	730
76	61	731
77	61	732
78	62	731
79	63	730
80	64	728
81	64	727
82	65	727
83	66	727
84	67	727
85	68	728
86	69	729
87	70	731
88	71	732
89	72	736
90	75	753
91	76	755
92	77	757
93	78	757
94	79	756
95	80	757
96	81	758
97	82	758
98	83	758
99	84	759
100	85	760
101	86	762
102	87	763
103	89	766
104	90	769
105	91	771
106	92	773
107	93	772
108	94	770
109	95	770
110	96	769
111	97	769
112	98	769
113	98	767
114	99	766
115	100	768
116	101	769
117	102	768
118	104	772
119	105	774
120	106	771
121	107	770
122	107	769
123	108	769
124	109	769
125	110	768
126	111	768
127	112	768
128	113	767
129	114	767
130	115	766
131	116	765
132	118	771
133	119	772
134	120	772
135	121	771
136	122	770
137	123	770
138	124	770
139	125	770
140	126	768
141	126	766
142	127	763
143	128	762
144	129	761
145	130	760
146	130	758
147	131	759
148	133	760
149	134	760
150	135	761
151	136	762
152	137	761
153	138	760
154	139	759
155	140	758
156	141	757
157	141	756
158	142	755
159	143	754
160	144	753
161	145	752
162	146	753
163	147	753
164	149	754
165	150	755
166	151	754
167	152	753
168	153	753
169	153	751
170	155	751
171	155	750
172	156	749
173	157	747
174	158	746
175	159	745
176	160	745
177	161	743
178	162	743
179	164	748
180	165	747
181	165	745
182	166	744
183	167	743
184	168	743
185	169	743
186	170	742
187	171	740
188	171	737
189	172	735
190	173	733
191	173	731
192	174	729
193	175	727
194	175	725
195	176	724
196	177	722
197	178	722
198	179	721
199	180	720
200	180	718
201	181	716
202	181	714
203	182	712
204	183	710
205	183	708
206	184	706
207	184	704
208	185	702
209	186	700
210	186	697
211	187	695
212	187	693
213	188	691
214	188	689
215	189	688
216	190	686
217	190	684
218	191	682
219	191	680
220	192	678
221	193	677
222	194	677
223	195	675
224	195	674
225	196	672
226	196	670
227	197	668
228	198	666
229	198	664
230	199	663
231	199	661
232	200	659
233	200	657
234	201	655
235	202	654
236	202	652
237	203	650
238	203	648
239	204	647
240	204	645
241	205	643
242	206	642
243	206	640
244	207	638
245	207	637
246	208	636
247	209	635
248	210	634
249	210	632
250	211	630
251	211	629
252	212	627
253	213	625
254	213	624
255	214	622
256	214	621
257	215	619
258	215	617
259	216	616
260	217	614
261	217	613
262	218	611
263	218	610
264	219	608
265	219	606
266	220	605
267	221	603
268	221	602
269	222	600
270	222	599
271	223	598
272	224	597
